loss, accuracy, val_loss, val_accuracy
0.1790, 0.5456, 0.0126, 0.6282
0.0118, 0.6308, 0.0125, 0.6271
0.0116, 0.6290, 0.0123, 0.6241
0.0116, 0.6265, 0.0121, 0.6309
0.0114, 0.6249, 0.0124, 0.6133
0.0118, 0.6321, 0.0127, 0.6264
0.0116, 0.6267, 0.0126, 0.6288
0.0119, 0.6243, 0.0126, 0.6247
0.0118, 0.6252, 0.0120, 0.6340
0.0113, 0.6302, 0.0118, 0.6427
0.0112, 0.6305, 0.0120, 0.6245
0.0111, 0.6321, 0.0120, 0.6329
0.0112, 0.6310, 0.0122, 0.6260
0.0111, 0.6341, 0.0116, 0.6443
0.0111, 0.6437, 0.0115, 0.6500
0.0108, 0.6483, 0.0114, 0.6384
0.0108, 0.6423, 0.0114, 0.6535
0.0109, 0.6470, 0.0114, 0.6499
0.0108, 0.6476, 0.0113, 0.6514
0.0103, 0.6485, 0.0112, 0.6489
0.0106, 0.6491, 0.0112, 0.6540
0.0105, 0.6519, 0.0112, 0.6530
0.0104, 0.6494, 0.0112, 0.6485
0.0105, 0.6483, 0.0113, 0.6482
0.0105, 0.6445, 0.0111, 0.6500
0.0105, 0.6521, 0.0111, 0.6553
0.0106, 0.6483, 0.0113, 0.6435
0.0104, 0.6496, 0.0110, 0.6497
0.0103, 0.6501, 0.0112, 0.6517
0.0105, 0.6517, 0.0110, 0.6512
0.0103, 0.6508, 0.0112, 0.6605
0.0102, 0.6509, 0.0110, 0.6573
0.0101, 0.6521, 0.0111, 0.6529
0.0103, 0.6522, 0.0108, 0.6573
0.0100, 0.6590, 0.0108, 0.6580
0.0101, 0.6524, 0.0108, 0.6530
0.0101, 0.6554, 0.0109, 0.6542
0.0098, 0.6585, 0.0109, 0.6491
0.0099, 0.6575, 0.0109, 0.6559
0.0096, 0.6629, 0.0110, 0.6479
0.0095, 0.6612, 0.0108, 0.6552
