loss, accuracy, val_loss, val_accuracy
0.0486, 0.5927, 0.0127, 0.6281
0.0119, 0.6303, 0.0127, 0.6274
0.0120, 0.6260, 0.0124, 0.6209
0.0119, 0.6227, 0.0123, 0.6259
0.0116, 0.6224, 0.0123, 0.6178
0.0116, 0.6212, 0.0121, 0.6401
0.0115, 0.6306, 0.0124, 0.6264
0.0114, 0.6318, 0.0120, 0.6432
0.0111, 0.6423, 0.0119, 0.6345
0.0113, 0.6408, 0.0118, 0.6406
0.0111, 0.6417, 0.0116, 0.6441
0.0111, 0.6416, 0.0116, 0.6482
0.0109, 0.6455, 0.0118, 0.6413
0.0107, 0.6464, 0.0114, 0.6438
0.0108, 0.6444, 0.0115, 0.6481
0.0105, 0.6486, 0.0113, 0.6499
0.0106, 0.6468, 0.0111, 0.6523
0.0106, 0.6485, 0.0110, 0.6523
0.0105, 0.6507, 0.0110, 0.6527
0.0105, 0.6503, 0.0110, 0.6595
0.0103, 0.6506, 0.0110, 0.6575
0.0103, 0.6543, 0.0110, 0.6429
0.0104, 0.6526, 0.0109, 0.6520
0.0103, 0.6540, 0.0110, 0.6575
0.0101, 0.6548, 0.0110, 0.6533
0.0101, 0.6549, 0.0109, 0.6634
0.0100, 0.6574, 0.0109, 0.6497
0.0099, 0.6556, 0.0110, 0.6606
