loss, reconstruction_loss, kl_loss, val_loss, val_reconstruction_loss, val_kl_loss
3672.1266,1472.5186,2821.2539,779.6379,779.1725,46.5412
785.7968,774.1048,35.7121,776.6876,776.5023,18.5286
783.9119,771.5019,42.1023,771.1845,770.7134,47.1162
772.2104,769.8766,48.2678,772.0541,771.9606,9.3516
759.2756,769.6449,54.8842,778.7685,776.4937,227.4826
782.6994,771.6964,61.1339,773.1788,772.9070,27.1906
775.1341,768.2844,56.3022,771.5214,770.9213,60.0142
754.9905,757.7682,85.8768,752.6191,751.8040,81.5194
748.5882,744.5274,121.6390,744.7937,744.0431,75.0548
735.2989,733.3333,113.7139,747.8748,746.5914,128.3362
724.6607,729.5303,159.2925,755.1395,753.6940,144.5506
709.0987,710.3885,136.9557,753.2687,752.1868,108.1874
685.2143,700.5839,156.7906,757.6647,756.2963,136.8457
670.2497,663.3737,180.5407,797.3573,794.8026,255.4741
623.9546,626.3666,216.5972,792.6324,790.9662,166.6172
602.4591,592.8576,235.6227,817.5845,815.0863,249.8127
